Date,Actual,LSTM_Forecast
2024-09-18,219.24978637695312,219.92736918905896
2024-09-19,227.37638854980472,221.62012352848976
2024-09-20,226.7107696533203,221.06822529182242
2024-09-23,224.99206542968753,222.36684045489685
2024-09-24,225.8861541748047,224.56647157870458
2024-09-25,224.8926849365234,224.9689349070401
2024-09-26,226.0352020263672,225.66826271498965
2024-09-27,226.30342102050784,226.24510873889793
2024-09-30,231.4794158935547,226.37484283436103
2024-10-01,224.73374938964847,228.98334876752398
2024-10-02,225.300033569336,226.74744403249167
2024-10-03,224.19726562500003,226.3670432935293
2024-10-04,225.31986999511722,228.489218350151
2024-10-07,220.2432556152344,228.17312215446321
2024-10-08,224.29661560058597,227.15573713973447
2024-10-09,228.042007446289,225.73749001179908
2024-10-10,227.54528808593753,226.10402065411577
2024-10-11,226.0650177001953,228.23647832198353
2024-10-14,229.79052734375,230.3754170746783
2024-10-15,232.32388305664062,232.2182085221714
2024-10-16,230.2673797607422,232.50064116839013
2024-10-17,230.6349639892578,231.31890585561104
2024-10-18,233.46636962890622,232.86830266745878
2024-10-21,234.93670654296875,231.7732884174303
2024-10-22,234.32078552246094,235.27475525543423
2024-10-23,229.2540435791016,235.60050743706006
2024-10-24,229.06530761718747,237.28782708183516
2024-10-25,229.8998413085937,235.68874787273566
2024-10-28,231.8768310546875,233.71748196301596
2024-10-29,232.14506530761716,232.82540155758915
2024-10-30,228.598373413086,232.52624735880966
2024-10-31,224.43569946289062,232.017151167247
2024-11-01,221.4552764892578,230.25040870292702
2024-11-04,220.56114196777344,228.65325707909747
2024-11-05,221.99176025390625,227.60813991055159
2024-11-06,221.2665252685547,225.13657182595512
2024-11-07,225.9954528808593,224.77080786374216
2024-11-08,225.72691345214844,227.49546854636665
2024-11-11,223.01174926757807,227.0727335919653
2024-11-12,223.01174926757807,226.48834946649134
2024-11-13,223.89691162109372,227.04478526358872
2024-11-14,226.9800720214844,228.5077212357481
2024-11-15,223.777572631836,229.16780057632565
2024-11-18,226.78117370605466,228.91916170720717
2024-11-19,227.0397491455078,229.40905943825018
